observation_date,State,Housing,Housing Values
01-07-2011,Florida,Housing Permits,4067.912153081
01-07-2011,Florida,Total Personal income,773748.8
01-07-2011,NewYork,HPI,558.07
01-07-2011,NewYork,Housing Permits,1469
01-07-2011,NewYork,Total Personal income,997679.5
01-07-2011,Texas,HPI,219.79
01-07-2011,Texas,Housing Permits,7736.499206792
01-07-2011,Texas,Total Personal income,1085615.2
01-10-2011,California,HPI,385.71
01-10-2011,California,Housing Permits,3485.432163015
01-10-2011,California,Total Personal income,1727650.9
01-10-2011,Florida,HPI,272.46
01-10-2011,Florida,Housing Permits,3644.63602172
01-10-2011,Florida,Total Personal income,779059.9
01-10-2011,NewYork,HPI,562.4
01-10-2011,NewYork,Housing Permits,1616
01-10-2011,NewYork,Total Personal income,998245.5
01-10-2011,Texas,HPI,219.97
01-10-2011,Texas,Housing Permits,8678.152656565
01-10-2011,Texas,Total Personal income,1092305.3
01-01-2012,California,HPI,381.42
01-01-2012,California,Housing Permits,2895.736151274
01-01-2012,California,Total Personal income,1775723.2
01-01-2012,Florida,HPI,267.08
01-01-2012,Florida,Housing Permits,4548.251714025
01-01-2012,Florida,Total Personal income,783296.3
01-01-2012,NewYork,HPI,558.17
01-01-2012,NewYork,Housing Permits,1478
01-01-2012,NewYork,Total Personal income,1020188.8
01-01-2012,Texas,HPI,219.87
01-01-2012,Texas,Housing Permits,9876.83481015
01-01-2012,Texas,Total Personal income,1126725.3
01-04-2012,California,HPI,382.06
01-04-2012,California,Housing Permits,3178.629603463
01-04-2012,California,Total Personal income,1796915.4
01-04-2012,Florida,HPI,265.08
01-04-2012,Florida,Housing Permits,4418.650430021
01-04-2012,Florida,Total Personal income,788471.5
01-04-2012,NewYork,HPI,552.39
01-04-2012,NewYork,Housing Permits,2406
01-04-2012,NewYork,Total Personal income,1034158.1
01-04-2012,Texas,HPI,221.37
01-04-2012,Texas,Housing Permits,9331.470189307
01-04-2012,Texas,Total Personal income,1137664.4
01-07-2012,California,HPI,390.98
01-07-2012,California,Housing Permits,4986.20960585
01-07-2012,California,Total Personal income,1794568.1
01-07-2012,Florida,HPI,271.45
01-07-2012,Florida,Housing Permits,5016.398574433
